StartDate,StartTime,EndTime,Cycle,Animal,Age_months,Genotype,id_code,Sex,InitMass_g,BP_kPa,EvniroLightLux,TempC,RH_pct,AC2_TempC,Avg_EE,Tot_EE,Avg_VO2,Avg_VCO2,Avg_RQ,Avg_VH2O,R_EE_30,R_RER_30,QR_EE_30,QR_RER_30,A_EE_15,A_RER_15,QA_EE_15,QA_RER_15,UptakeA_g,UptakeA_N,UptakeA_Sum,UptakeA_min,InterUptakeA_min,uptakeW_g,uptakeW_N,uptakeW_Sum,uptakeW_min,InteruptakeW_min,BodyMass_g,BodyMass_SD,YBreaks,XBreaks,ZBreaks,AllMeters,PedMeters,PedSpeed,Walk_pct,Still_pct,Sleep_pct,Sleep_hrs
5/22/23,17:30:00,18:00:00,26,12,.,.,.,.,.,99.69368,0,.,.,24.16954,0.4756376,0.2378226,1.663565,1.239768,0.7452824,0.2688191,0.4756395,0.7452718,0.4756395,0.7452718,0.480724,0.7416703,0.4772689,0.7286885,0.05796814,2,0.1159363,12.74167,3.05,0.04191589,4,0.1676636,0.85,2.744444,0,0,1910,1594,1166,31.94153,29.85339,0.03348275,64.29761,7.995558,0,0
5/22/23,17:30:00,18:00:00,26,13,.,.,.,.,.,99.69368,0,.,.,24.40534,0.5331291,0.2665623,1.892657,1.289804,0.6826273,0.2693591,0.5331395,0.6826072,0.5331395,0.6826072,0.5492405,0.6688414,0.5403412,0.6781418,0.0211792,1,0.0211792,12.95,0,0.007258097,6,0.04354858,0.9555556,3.64,0,0,1788,1526,862,35.57572,33.82673,0.03446459,69.23931,23.76457,0,0
5/22/23,17:30:00,18:00:00,26,14,.,.,.,.,.,99.69368,0,.,.,24.05542,0.5327342,0.2663639,1.882014,1.321777,0.7040277,0.2711955,0.5327479,0.7040092,0.5327479,0.7040092,0.5494159,0.6894351,0.5117506,0.7172781,0.001495361,1,0.001495361,9.566667,0,0.00668335,1,0.00668335,0.25,0,0,0,1951,1980,1218,30.16979,27.79986,0.03013673,66.2965,22.9317,5.219322,0.02611113
5/22/23,17:30:00,18:00:00,26,15,.,.,.,.,.,99.69368,0,.,.,24.28706,0.4493824,0.2246864,1.583055,1.131001,0.7141283,0.295289,0.4493689,0.7141024,0.4493689,0.7141024,0.4579578,0.7472813,0.4362646,0.7078317,0.03401184,2,0.06802368,7.858334,2.666667,0.04705811,1,0.04705811,1.316667,0,18.5592,0.04047405,1269,1366,1642,16.95704,15.01475,0.02651241,44.19767,33.09273,15.32482,0.07666664
5/22/23,17:30:00,18:00:00,26,16,.,.,.,.,.,99.69368,0,.,.,24.28062,0.445462,0.2227345,1.577485,1.091772,0.6914784,0.3155628,0.4454572,0.6914464,0.4454572,0.6914464,0.4575201,0.7127427,0.4459946,0.6874161,0.04864502,1,0.04864502,20.03333,0,0.05679321,1,0.05679321,0.2333333,0,0,0,1287,1250,539,18.12094,16.14902,0.02995475,41.47696,31.53803,9.994448,0.04986104
5/22/23,18:00:00,18:30:00,27,1,.,.,.,.,.,99.70126,0,.,.,23.86939,0.5060542,0.2530283,1.771369,1.31399,0.7416015,0.2555827,0.5060678,0.741573,0.5060678,0.741573,0.5078782,0.7678242,0.497228,0.7522652,0.1086731,1,0.1086731,16.06667,0,0.01976776,4,0.07907104,0.6833333,7.694444,0,0,1742,1508,827,28.81287,26.64384,0.03285767,56.74625,18.32315,0,0
5/22/23,18:00:00,18:30:00,27,2,.,.,.,.,.,99.70126,0,.,.,24.15889,0.4429743,0.2214818,1.554127,1.137516,0.7321249,0.1834528,0.4429809,0.7321093,0.4429809,0.7321093,0.4497963,0.7295875,0.4350681,0.7322461,0.04736328,2,0.09472656,10.775,3.816667,0.005386353,2,0.01077271,0.375,10.63333,21.49887,0.05472322,1808,1748,927,25.10558,22.80468,0.02915903,61.3548,19.21155,6.60744,0.03291668
5/22/23,18:00:00,18:30:00,27,3,.,.,.,.,.,99.70126,0,25.6229,39.93483,24.26521,0.5198846,0.2599315,1.81745,1.358203,0.7471793,0.2937538,0.5198856,0.7471648,0.5198856,0.7471648,0.5274409,0.7470967,0.5198934,0.7512087,0.05284119,2,0.1056824,11.91667,3.916667,0.00587972,3,0.01763916,0.4833333,9.599999,0,0,1935,1712,894,26.80363,24.31736,0.02981337,60.85508,14.54747,0,0
5/22/23,18:00:00,18:30:00,27,4,.,.,.,.,.,99.70126,0,.,.,24.57839,0.507504,0.2537476,1.736755,1.459174,0.8401872,0.2106998,0.5074872,0.840169,0.5074872,0.840169,0.5186993,0.8465992,0.4953862,0.8419225,0.02194214,4,0.08776856,4.683333,3.288889,0.06444295,3,0.1933288,1.044444,9.333333,22.23724,0.04208082,1982,1814,1010,32.77637,30.65697,0.03269137,70.29428,17.26818,4.441977,0.02222224
5/22/23,18:00:00,18:30:00,27,5,.,.,.,.,.,99.70126,0,.,.,24.52643,0.5626985,0.2813482,1.954163,1.516234,0.7757519,0.3162133,0.562695,0.7757597,0.562695,0.7757597,0.5710146,0.7819986,0.5685976,0.7789609,0.02290344,2,0.04580688,12.90833,2.9,0,0,0,0,0,0,0,2366,2200,684,69.3576,67.73445,0.05746856,80.12215,4.108828,0,0
